# SUPERMICRO-HEALTH-MIB list of identifiers (generated by smidump 0.4.8)

SUPERMICRO-HEALTH-MIB SMHealthInfoTypes                      type        
SUPERMICRO-HEALTH-MIB smHealthMIB                            node         1.3.6.1.4.1.10876.2.1
SUPERMICRO-HEALTH-MIB smHealthObjects                        node         1.3.6.1.4.1.10876.2.1.1
SUPERMICRO-HEALTH-MIB smHealthMonitorTable                   table        1.3.6.1.4.1.10876.2.1.1.1
SUPERMICRO-HEALTH-MIB smHealthMonitorEntry                   row          1.3.6.1.4.1.10876.2.1.1.1.1
SUPERMICRO-HEALTH-MIB smHealthMonitorIndex                   column       1.3.6.1.4.1.10876.2.1.1.1.1.1
SUPERMICRO-HEALTH-MIB smHealthMonitorName                    column       1.3.6.1.4.1.10876.2.1.1.1.1.2
SUPERMICRO-HEALTH-MIB smHealthMonitorType                    column       1.3.6.1.4.1.10876.2.1.1.1.1.3
SUPERMICRO-HEALTH-MIB smHealthMonitorReading                 column       1.3.6.1.4.1.10876.2.1.1.1.1.4
SUPERMICRO-HEALTH-MIB smHealthMonitorHighLimit               column       1.3.6.1.4.1.10876.2.1.1.1.1.5
SUPERMICRO-HEALTH-MIB smHealthMonitorLowLimit                column       1.3.6.1.4.1.10876.2.1.1.1.1.6
SUPERMICRO-HEALTH-MIB smHealthMonitorMaxReading              column       1.3.6.1.4.1.10876.2.1.1.1.1.7
SUPERMICRO-HEALTH-MIB smHealthMonitorMinReading              column       1.3.6.1.4.1.10876.2.1.1.1.1.8
SUPERMICRO-HEALTH-MIB smHealthMonitorDivisor                 column       1.3.6.1.4.1.10876.2.1.1.1.1.9
SUPERMICRO-HEALTH-MIB smHealthMonitorMonitor                 column       1.3.6.1.4.1.10876.2.1.1.1.1.10
SUPERMICRO-HEALTH-MIB smHealthMonitorReadingUnit             column       1.3.6.1.4.1.10876.2.1.1.1.1.11
SUPERMICRO-HEALTH-MIB smHealthMonitorStatus                  column       1.3.6.1.4.1.10876.2.1.1.1.1.12
SUPERMICRO-HEALTH-MIB smHealthNotifications                  node         1.3.6.1.4.1.10876.2.1.2
SUPERMICRO-HEALTH-MIB smHealthConformance                    node         1.3.6.1.4.1.10876.2.1.3
SUPERMICRO-HEALTH-MIB smHealthCompliances                    node         1.3.6.1.4.1.10876.2.1.3.1
SUPERMICRO-HEALTH-MIB smHealthCompliance                     compliance   1.3.6.1.4.1.10876.2.1.3.1.1
SUPERMICRO-HEALTH-MIB smHealthGroups                         node         1.3.6.1.4.1.10876.2.1.3.2
SUPERMICRO-HEALTH-MIB smHealthMonitorGroup                   group        1.3.6.1.4.1.10876.2.1.3.2.1
SUPERMICRO-HEALTH-MIB smHealthAllinoneStatus                 scalar       1.3.6.1.4.1.10876.2.2
SUPERMICRO-HEALTH-MIB smHealthAllinoneMsg                    scalar       1.3.6.1.4.1.10876.2.3
# SUPERMICRO-SSM-MIB list of identifiers (generated by smidump 0.4.8)

SUPERMICRO-SSM-MIB    smSuperDoctor5MIB                      node         1.3.6.1.4.1.10876.100.1
SUPERMICRO-SSM-MIB    sd5Table                               table        1.3.6.1.4.1.10876.100.1.1
SUPERMICRO-SSM-MIB    sd5Entry                               row          1.3.6.1.4.1.10876.100.1.1.1
SUPERMICRO-SSM-MIB    sd5Idx                                 column       1.3.6.1.4.1.10876.100.1.1.1.1
SUPERMICRO-SSM-MIB    sd5Version                             column       1.3.6.1.4.1.10876.100.1.1.1.2
SUPERMICRO-SSM-MIB    sd5MIBVersion                          column       1.3.6.1.4.1.10876.100.1.1.1.3
SUPERMICRO-SSM-MIB    cpuTable                               table        1.3.6.1.4.1.10876.100.1.2
SUPERMICRO-SSM-MIB    cpuEntry                               row          1.3.6.1.4.1.10876.100.1.2.1
SUPERMICRO-SSM-MIB    cpuIndex                               column       1.3.6.1.4.1.10876.100.1.2.1.1
SUPERMICRO-SSM-MIB    cpuName                                column       1.3.6.1.4.1.10876.100.1.2.1.2
SUPERMICRO-SSM-MIB    cpuDescription                         column       1.3.6.1.4.1.10876.100.1.2.1.3
SUPERMICRO-SSM-MIB    cpuManufacturer                        column       1.3.6.1.4.1.10876.100.1.2.1.4
SUPERMICRO-SSM-MIB    cpuDeviceStatus                        column       1.3.6.1.4.1.10876.100.1.2.1.5
SUPERMICRO-SSM-MIB    cpuMaxSpeed                            column       1.3.6.1.4.1.10876.100.1.2.1.6
SUPERMICRO-SSM-MIB    cpuCurrentSpeed                        column       1.3.6.1.4.1.10876.100.1.2.1.7
SUPERMICRO-SSM-MIB    cpuLoadingPercentage                   column       1.3.6.1.4.1.10876.100.1.2.1.9
SUPERMICRO-SSM-MIB    cpuCoreEnabled                         column       1.3.6.1.4.1.10876.100.1.2.1.10
SUPERMICRO-SSM-MIB    cpuCoreCount                           column       1.3.6.1.4.1.10876.100.1.2.1.11
SUPERMICRO-SSM-MIB    cpuThreadCount                         column       1.3.6.1.4.1.10876.100.1.2.1.12
SUPERMICRO-SSM-MIB    cpuSocketDesignation                   column       1.3.6.1.4.1.10876.100.1.2.1.14
SUPERMICRO-SSM-MIB    cpuDeviceVersion                       column       1.3.6.1.4.1.10876.100.1.2.1.18
SUPERMICRO-SSM-MIB    cpuDeviceID                            column       1.3.6.1.4.1.10876.100.1.2.1.20
SUPERMICRO-SSM-MIB    memTable                               table        1.3.6.1.4.1.10876.100.1.3
SUPERMICRO-SSM-MIB    memEntry                               row          1.3.6.1.4.1.10876.100.1.3.1
SUPERMICRO-SSM-MIB    memTag                                 column       1.3.6.1.4.1.10876.100.1.3.1.1
SUPERMICRO-SSM-MIB    memDescription                         column       1.3.6.1.4.1.10876.100.1.3.1.2
SUPERMICRO-SSM-MIB    memDeviceStatus                        column       1.3.6.1.4.1.10876.100.1.3.1.3
SUPERMICRO-SSM-MIB    memLabeledBank                         column       1.3.6.1.4.1.10876.100.1.3.1.4
SUPERMICRO-SSM-MIB    memDeviceLocator                       column       1.3.6.1.4.1.10876.100.1.3.1.5
SUPERMICRO-SSM-MIB    memModel                               column       1.3.6.1.4.1.10876.100.1.3.1.7
SUPERMICRO-SSM-MIB    memManufacturer                        column       1.3.6.1.4.1.10876.100.1.3.1.8
SUPERMICRO-SSM-MIB    memPartNumber                          column       1.3.6.1.4.1.10876.100.1.3.1.9
SUPERMICRO-SSM-MIB    memSerialNumber                        column       1.3.6.1.4.1.10876.100.1.3.1.10
SUPERMICRO-SSM-MIB    memCapacity                            column       1.3.6.1.4.1.10876.100.1.3.1.11
SUPERMICRO-SSM-MIB    memDataWidth                           column       1.3.6.1.4.1.10876.100.1.3.1.12
SUPERMICRO-SSM-MIB    memTotalWidth                          column       1.3.6.1.4.1.10876.100.1.3.1.13
SUPERMICRO-SSM-MIB    memErrorCount                          column       1.3.6.1.4.1.10876.100.1.3.1.15
